candidate,tweet_count,avg_polarity,avg_likes,temporal_dispersion_days,total_word_count,temporal_variance,tweets_last_month_ratio,avg_engagement,positive_ratio,negative_ratio,neutral_ratio,likes_variance
Pedro Nuno Santos,503,-0.42063492063492064,798.89662027833,231,15902,32.63855421686747,0.5893470790378007,,0.12433862433862433,0.544973544973545,0.3306878306878307,2898462.458317545
André Ventura,500,-0.416,26.022,230,10517,1729.4260666277034,0.5893470790378007,,0.158,0.574,0.268,30342.322160320633
Mariana Mortágua,500,-0.3927855711422846,497.256,229,15285,255.98730158730157,0.5893470790378007,,0.11422845691382766,0.5070140280561122,0.3787575150300601,3696533.2329298593
Paulo Raimundo,500,-0.554,535.386,229,14783,1334.0825035561877,0.5893470790378007,,0.1,0.654,0.246,9217072.774553105
Rui Tavares,500,-0.4088176352705411,656.08,29,16770,130.367816091954,0.5893470790378007,,0.1402805611222445,0.5490981963927856,0.3106212424849699,2522827.9695390766
Luis Montenegro,500,-0.45,330.988,231,13793,11.364653243847872,0.5893470790378007,,0.108,0.558,0.334,2762184.144144289
Inês de Sousa Real,500,-0.218436873747495,0.0,228,0,99.91919191919192,0.5893470790378007,,0.23246492985971945,0.45090180360721444,0.3166332665330661,10080253.637691382
Rui Rocha,489,-0.33783783783783783,60.50920245398773,231,12563,2.494172494172494,0.5893470790378007,,0.14864864864864866,0.4864864864864865,0.36486486486486486,1376875.107694429
